category,filename,brightness_before,brightness_after,brightness_delta,contrast_before,contrast_after,contrast_delta,sharpness_before,sharpness_after,sharpness_delta,noise_before,noise_after,noise_delta
blurry,blurry_01.jpg,113.855,120.074,6.219,45.703,55.039,9.337,17.811,38.544,20.734,1.382,1.981,0.599
blurry,blurry_02.jpg,98.828,105.858,7.03,63.632,63.912,0.279,12.611,34.352,21.742,1.087,1.759,0.672
blurry,blurry_03.jpg,41.003,48.497,7.493,37.236,39.356,2.12,50.629,156.313,105.685,2.194,3.836,1.642
daylight,daylight_01.jpg,75.905,84.878,8.973,54.988,57.125,2.138,42.174,110.238,68.064,1.885,3.012,1.127
daylight,daylight_02.jpg,74.753,85.78,11.028,38.745,42.734,3.99,57.605,167.986,110.382,2.261,3.833,1.572
daylight,daylight_03.jpg,144.229,134.927,-9.302,68.703,69.626,0.923,16042.678,27566.841,11524.163,25.093,32.677,7.585
high_contrast,high_contrast_01.jpg,78.439,84.293,5.854,68.412,70.883,2.47,39.557,101.321,61.764,2.012,3.204,1.192
high_contrast,high_contrast_02.jpg,87.77,96.438,8.668,66.253,65.795,-0.458,468.751,887.095,418.344,6.324,8.581,2.257
high_contrast,high_contrast_03.jpg,105.915,109.808,3.893,90.436,90.614,0.178,587.981,614.626,26.644,8.897,9.116,0.219
low_light,low_light_01.jpg,42.709,50.708,7.999,68.018,63.186,-4.832,122.18,336.5,214.32,3.432,5.635,2.202
low_light,low_light_02.jpg,36.031,40.128,4.096,47.24,48.072,0.832,40.769,54.116,13.347,2.206,2.507,0.301
low_light,low_light_03.jpg,40.663,52.006,11.343,24.828,29.201,4.373,225.604,577.39,351.787,4.057,6.501,2.443
